 Nx=          50 Ny=           8 Jd= -6.928203230275511E-002 t2=
  -4.24264068711929      N_up=           0 N_down=           0        3600 12000
     198     247      -0.000015411
     198     248       0.000718929
     198     249       0.000009890
     198     250      -0.000114579
     198     251       0.000018435
     198     252       0.000043708
     198     253       0.000168695
     198     254      -0.000353801
     198     255       0.000187935
     198     256       0.000053374
     198     257      -0.000047902
     198     258       0.000343068
     198     259      -0.000049619
     198     260      -0.000283043
     198     261       0.000141479
     198     262       0.000033127
     198     263       0.000149334
     198     264      -0.000278082
